topic,category,question,option,is_correct,explanation
Foundations,Financial Accounting,GAAP requires all companies to use the same depreciation rules. Which quality does this serve?,Comparability,true,Comparability allows investors to consistently compare information across companies and time periods. Without consistent rules comparing two firms would be meaningless.
Foundations,Capital Allocation,What is capital allocation?,The process of tracking employee hours,false,Capital allocation is the decision-making process where people with money choose which businesses to fund — ensuring money flows to where it generates the most value. Better accounting leads to better capital allocation.
Foundations,Capital Allocation,What is capital allocation?,The decision-making process where investors choose which businesses to fund,true,Capital allocation is the decision-making process where people with money choose which businesses to fund — ensuring money flows to where it generates the most value. Better accounting leads to better capital allocation.
Foundations,Capital Allocation,What is capital allocation?,A method of depreciating assets over time,false,Capital allocation is the decision-making process where people with money choose which businesses to fund — ensuring money flows to where it generates the most value. Better accounting leads to better capital allocation.
Foundations,Capital Allocation,What is capital allocation?,A way to calculate retained earnings,false,Capital allocation is the decision-making process where people with money choose which businesses to fund — ensuring money flows to where it generates the most value. Better accounting leads to better capital allocation.
Accrual,Accrual Accounting,Services delivered in March. Client pays in April. When is revenue recognized?,April — when cash is received,false,Accrual recognizes revenue when the performance obligation is satisfied — work done in March means March revenue. Cash timing is irrelevant. The unpaid amount sits as Accounts Receivable until April.
Accrual,Accrual Accounting,Services delivered in March. Client pays in April. When is revenue recognized?,March — when services were delivered,true,Accrual recognizes revenue when the performance obligation is satisfied — work done in March means March revenue. Cash timing is irrelevant. The unpaid amount sits as Accounts Receivable until April.
Accrual,Accrual Accounting,Services delivered in March. Client pays in April. When is revenue recognized?,Split evenly between March and April,false,Accrual recognizes revenue when the performance obligation is satisfied — work done in March means March revenue. Cash timing is irrelevant. The unpaid amount sits as Accounts Receivable until April.
Accrual,Accrual Accounting,Services delivered in March. Client pays in April. When is revenue recognized?,Only when the invoice is sent,false,Accrual recognizes revenue when the performance obligation is satisfied — work done in March means March revenue. Cash timing is irrelevant. The unpaid amount sits as Accounts Receivable until April.
Accrual,Accrual Accounting,$24000 paid in January for a 12-month insurance policy. How much expense hits the Income Statement in January?,$24000 — the full payment,false,$24000 divided by 12 equals $2000 per month. The remaining $22000 is Prepaid Insurance on the Balance Sheet — an asset. Each month $2000 converts from asset to expense as coverage is used.
Accrual,Accrual Accounting,$24000 paid in January for a 12-month insurance policy. How much expense hits the Income Statement in January?,$2000 — one month,true,$24000 divided by 12 equals $2000 per month. The remaining $22000 is Prepaid Insurance on the Balance Sheet — an asset. Each month $2000 converts from asset to expense as coverage is used.
Accrual,Accrual Accounting,$24000 paid in January for a 12-month insurance policy. How much expense hits the Income Statement in January?,$0 — it is an asset not yet used,false,$24000 divided by 12 equals $2000 per month. The remaining $22000 is Prepaid Insurance on the Balance Sheet — an asset. Each month $2000 converts from asset to expense as coverage is used.
Accrual,Accrual Accounting,$24000 paid in January for a 12-month insurance policy. How much expense hits the Income Statement in January?,$12000 — half the policy,false,$24000 divided by 12 equals $2000 per month. The remaining $22000 is Prepaid Insurance on the Balance Sheet — an asset. Each month $2000 converts from asset to expense as coverage is used.
Accrual,Accrual Accounting,Employees earn $40000 in December but are paid in January. What is recorded in December?,Nothing — record when paid in January,false,Obligation created in December so expense recognized then. Wages Expense $40k on Income Statement and Wages Payable $40k liability on Balance Sheet. The payable disappears when cash is paid in January.
Accrual,Accrual Accounting,Employees earn $40000 in December but are paid in January. What is recorded in December?,Wages Expense $40k on Income Statement plus Wages Payable $40k on Balance Sheet,true,Obligation created in December so expense recognized then. Wages Expense $40k on Income Statement and Wages Payable $40k liability on Balance Sheet. The payable disappears when cash is paid in January.
Accrual,Accrual Accounting,Employees earn $40000 in December but are paid in January. What is recorded in December?,Only the cash payment when it leaves in January,false,Obligation created in December so expense recognized then. Wages Expense $40k on Income Statement and Wages Payable $40k liability on Balance Sheet. The payable disappears when cash is paid in January.
Accrual,Accrual Accounting,Employees earn $40000 in December but are paid in January. What is recorded in December?,Wages Expense $40k with no Balance Sheet entry,false,Obligation created in December so expense recognized then. Wages Expense $40k on Income Statement and Wages Payable $40k liability on Balance Sheet. The payable disappears when cash is paid in January.
Accrual,Accrual Accounting,Client pays $18000 upfront in October for 6 months of service. How is this recorded in October?,Revenue $18000 — cash was received,false,Cash arrived but work not done yet — Deferred Revenue a LIABILITY. Each month $3000 converts from the liability to revenue as service is delivered. Collecting cash early does NOT mean revenue is earned.
Accrual,Accrual Accounting,Client pays $18000 upfront in October for 6 months of service. How is this recorded in October?,Deferred Revenue $18000 — a liability until earned,true,Cash arrived but work not done yet — Deferred Revenue a LIABILITY. Each month $3000 converts from the liability to revenue as service is delivered. Collecting cash early does NOT mean revenue is earned.
Accrual,Accrual Accounting,Client pays $18000 upfront in October for 6 months of service. How is this recorded in October?,Accounts Receivable $18000,false,Cash arrived but work not done yet — Deferred Revenue a LIABILITY. Each month $3000 converts from the liability to revenue as service is delivered. Collecting cash early does NOT mean revenue is earned.
Accrual,Accrual Accounting,Client pays $18000 upfront in October for 6 months of service. How is this recorded in October?,Retained Earnings $18000,false,Cash arrived but work not done yet — Deferred Revenue a LIABILITY. Each month $3000 converts from the liability to revenue as service is delivered. Collecting cash early does NOT mean revenue is earned.
Accrual,Matching Principle,Inventory bought in October sold in December. When is the $5000 cost recorded as an expense?,October — when purchased,false,Matching principle: expenses recognized in the same period as the revenue they generate. The $5000 becomes COGS in December when the sale occurs — not when inventory was purchased.
Accrual,Matching Principle,Inventory bought in October sold in December. When is the $5000 cost recorded as an expense?,November — halfway between,false,Matching principle: expenses recognized in the same period as the revenue they generate. The $5000 becomes COGS in December when the sale occurs — not when inventory was purchased.
Accrual,Matching Principle,Inventory bought in October sold in December. When is the $5000 cost recorded as an expense?,December — matching principle,true,Matching principle: expenses recognized in the same period as the revenue they generate. The $5000 becomes COGS in December when the sale occurs — not when inventory was purchased.
Accrual,Matching Principle,Inventory bought in October sold in December. When is the $5000 cost recorded as an expense?,January — when cash settles,false,Matching principle: expenses recognized in the same period as the revenue they generate. The $5000 becomes COGS in December when the sale occurs — not when inventory was purchased.
Income Statement,Income Statement,Revenue $80000. COGS $30000. Operating expenses $20000. What is net income?,$80000,false,Net Income = Revenue minus COGS minus Operating Expenses. $80000 minus $30000 equals $50000 gross profit. Then $50000 minus $20000 equals $30000 net income.
Income Statement,Income Statement,Revenue $80000. COGS $30000. Operating expenses $20000. What is net income?,$30000,true,Net Income = Revenue minus COGS minus Operating Expenses. $80000 minus $30000 equals $50000 gross profit. Then $50000 minus $20000 equals $30000 net income.
Income Statement,Income Statement,Revenue $80000. COGS $30000. Operating expenses $20000. What is net income?,$50000 — gross profit only,false,Net Income = Revenue minus COGS minus Operating Expenses. $80000 minus $30000 equals $50000 gross profit. Then $50000 minus $20000 equals $30000 net income.
Income Statement,Income Statement,Revenue $80000. COGS $30000. Operating expenses $20000. What is net income?,$80000 — total revenue,false,Net Income = Revenue minus COGS minus Operating Expenses. $80000 minus $30000 equals $50000 gross profit. Then $50000 minus $20000 equals $30000 net income.
Income Statement,Income Statement,Bakery sells its truck book value $15000 for $19000. How is this classified?,$19000 revenue,false,Selling a non-core asset above book value creates a GAIN of $4000 not revenue. Revenue comes from the bakery's core business — selling bread not trucks.
Income Statement,Income Statement,Bakery sells its truck book value $15000 for $19000. How is this classified?,$4000 gain on sale — above book value not core operations,true,Selling a non-core asset above book value creates a GAIN of $4000 not revenue. Revenue comes from the bakery's core business — selling bread not trucks.
Income Statement,Income Statement,Bakery sells its truck book value $15000 for $19000. How is this classified?,$4000 operating income,false,Selling a non-core asset above book value creates a GAIN of $4000 not revenue. Revenue comes from the bakery's core business — selling bread not trucks.
Income Statement,Income Statement,Bakery sells its truck book value $15000 for $19000. How is this classified?,$15000 revenue plus $4000 gain,false,Selling a non-core asset above book value creates a GAIN of $4000 not revenue. Revenue comes from the bakery's core business — selling bread not trucks.
Income Statement,Income Statement,Which of these is NOT an operating expense?,Depreciation on factory equipment,false,Dividends are NOT an expense — they never appear on the Income Statement. They reduce Retained Earnings directly. Depreciation wages and rent are all legitimate operating expenses.
Income Statement,Income Statement,Which of these is NOT an operating expense?,Wages paid to production staff,false,Dividends are NOT an expense — they never appear on the Income Statement. They reduce Retained Earnings directly. Depreciation wages and rent are all legitimate operating expenses.
Income Statement,Income Statement,Which of these is NOT an operating expense?,Dividends paid to shareholders,true,Dividends are NOT an expense — they never appear on the Income Statement. They reduce Retained Earnings directly. Depreciation wages and rent are all legitimate operating expenses.
Income Statement,Income Statement,Which of these is NOT an operating expense?,Rent on office space,false,Dividends are NOT an expense — they never appear on the Income Statement. They reduce Retained Earnings directly. Depreciation wages and rent are all legitimate operating expenses.
Income Statement,Income Statement,Depreciation reduces net income but no cash leaves. What is this called?,A deferred expense,false,Depreciation is a non-cash expense — reduces net income without any cash outflow. This is why net income does not equal cash generated. On the Cash Flow Statement depreciation is added back to reconcile to actual cash.
Income Statement,Income Statement,Depreciation reduces net income but no cash leaves. What is this called?,A non-cash expense,true,Depreciation is a non-cash expense — reduces net income without any cash outflow. This is why net income does not equal cash generated. On the Cash Flow Statement depreciation is added back to reconcile to actual cash.
Income Statement,Income Statement,Depreciation reduces net income but no cash leaves. What is this called?,An accrued liability,false,Depreciation is a non-cash expense — reduces net income without any cash outflow. This is why net income does not equal cash generated. On the Cash Flow Statement depreciation is added back to reconcile to actual cash.
Income Statement,Income Statement,Depreciation reduces net income but no cash leaves. What is this called?,An impairment,false,Depreciation is a non-cash expense — reduces net income without any cash outflow. This is why net income does not equal cash generated. On the Cash Flow Statement depreciation is added back to reconcile to actual cash.
Balance Sheet,Balance Sheet Equation,Which equation is always true on a Balance Sheet?,Assets = Revenue minus Expenses,false,The accounting equation: Assets = Liabilities + Equity. Every transaction keeps this balanced. Revenue and expenses affect equity indirectly through Retained Earnings — they do not appear directly in this equation.
Balance Sheet,Balance Sheet Equation,Which equation is always true on a Balance Sheet?,Assets = Liabilities + Equity,true,The accounting equation: Assets = Liabilities + Equity. Every transaction keeps this balanced. Revenue and expenses affect equity indirectly through Retained Earnings — they do not appear directly in this equation.
Balance Sheet,Balance Sheet Equation,Which equation is always true on a Balance Sheet?,Assets = Net Income + Dividends,false,The accounting equation: Assets = Liabilities + Equity. Every transaction keeps this balanced. Revenue and expenses affect equity indirectly through Retained Earnings — they do not appear directly in this equation.
Balance Sheet,Balance Sheet Equation,Which equation is always true on a Balance Sheet?,Assets = Cash + Receivables,false,The accounting equation: Assets = Liabilities + Equity. Every transaction keeps this balanced. Revenue and expenses affect equity indirectly through Retained Earnings — they do not appear directly in this equation.
Balance Sheet,Balance Sheet Equation,Company takes out a $200000 bank loan and receives cash. What happens?,Assets up $200k and Equity up $200k,false,Borrowing grows both sides equally: Cash up $200k and Bank Loan liability up $200k. Equity untouched — came from a creditor not owners.
Balance Sheet,Balance Sheet Equation,Company takes out a $200000 bank loan and receives cash. What happens?,Assets up $200k and Liabilities up $200k,true,Borrowing grows both sides equally: Cash up $200k and Bank Loan liability up $200k. Equity untouched — came from a creditor not owners.
Balance Sheet,Balance Sheet Equation,Company takes out a $200000 bank loan and receives cash. What happens?,No change — just a loan,false,Borrowing grows both sides equally: Cash up $200k and Bank Loan liability up $200k. Equity untouched — came from a creditor not owners.
Balance Sheet,Balance Sheet Equation,Company takes out a $200000 bank loan and receives cash. What happens?,Liabilities up $200k and Equity down $200k,false,Borrowing grows both sides equally: Cash up $200k and Bank Loan liability up $200k. Equity untouched — came from a creditor not owners.
Balance Sheet,Balance Sheet Equation,Company buys a $50000 machine with cash. What happens to total assets?,Total assets decrease by $50000,false,Buying an asset with cash is an asset swap: Cash down $50k and PP&E up $50k. Total assets stay exactly the same — one form of asset trades for another. Nothing happens to liabilities or equity.
Balance Sheet,Balance Sheet Equation,Company buys a $50000 machine with cash. What happens to total assets?,Total assets increase by $50000,false,Buying an asset with cash is an asset swap: Cash down $50k and PP&E up $50k. Total assets stay exactly the same — one form of asset trades for another. Nothing happens to liabilities or equity.
Balance Sheet,Balance Sheet Equation,Company buys a $50000 machine with cash. What happens to total assets?,Total assets stay the same — it is an asset swap,true,Buying an asset with cash is an asset swap: Cash down $50k and PP&E up $50k. Total assets stay exactly the same — one form of asset trades for another. Nothing happens to liabilities or equity.
Balance Sheet,Balance Sheet Equation,Company buys a $50000 machine with cash. What happens to total assets?,Liabilities increase by $50000,false,Buying an asset with cash is an asset swap: Cash down $50k and PP&E up $50k. Total assets stay exactly the same — one form of asset trades for another. Nothing happens to liabilities or equity.
Balance Sheet,Balance Sheet Equation,Company earns $60000 net income and pays no dividends. How does the equation change?,Assets up $60k and Liabilities up $60k,false,Net income flows from the Income Statement into Retained Earnings. Assets grow and equity grows via Retained Earnings. Both sides up $60k — balanced.
Balance Sheet,Balance Sheet Equation,Company earns $60000 net income and pays no dividends. How does the equation change?,Assets up $60k and Retained Earnings up $60k,true,Net income flows from the Income Statement into Retained Earnings. Assets grow and equity grows via Retained Earnings. Both sides up $60k — balanced.
Balance Sheet,Balance Sheet Equation,Company earns $60000 net income and pays no dividends. How does the equation change?,No Balance Sheet effect — income is only on the Income Statement,false,Net income flows from the Income Statement into Retained Earnings. Assets grow and equity grows via Retained Earnings. Both sides up $60k — balanced.
Balance Sheet,Balance Sheet Equation,Company earns $60000 net income and pays no dividends. How does the equation change?,Paid-in Capital up $60k,false,Net income flows from the Income Statement into Retained Earnings. Assets grow and equity grows via Retained Earnings. Both sides up $60k — balanced.
Balance Sheet,Balance Sheet Equation,Company records $10000 depreciation. What happens to the equation?,Cash down $10k and PP&E down $10k — asset shift,false,Depreciation reduces PP&E via accumulated depreciation and flows through the Income Statement reducing net income and Retained Earnings. No cash moves. Both sides fall $10k — balanced.
Balance Sheet,Balance Sheet Equation,Company records $10000 depreciation. What happens to the equation?,PP&E down $10k and Retained Earnings down $10k,true,Depreciation reduces PP&E via accumulated depreciation and flows through the Income Statement reducing net income and Retained Earnings. No cash moves. Both sides fall $10k — balanced.
Balance Sheet,Balance Sheet Equation,Company records $10000 depreciation. What happens to the equation?,Liabilities up $10k and PP&E down $10k,false,Depreciation reduces PP&E via accumulated depreciation and flows through the Income Statement reducing net income and Retained Earnings. No cash moves. Both sides fall $10k — balanced.
Balance Sheet,Balance Sheet Equation,Company records $10000 depreciation. What happens to the equation?,No effect — depreciation is non-cash,false,Depreciation reduces PP&E via accumulated depreciation and flows through the Income Statement reducing net income and Retained Earnings. No cash moves. Both sides fall $10k — balanced.
Balance Sheet,Balance Sheet Equation,Company issues 20000 shares at $15 each with $1 par value. What is the equity impact?,Common Stock up $300k — full amount,false,Common Stock = 20000 x $1 par = $20k. APIC = 20000 x $14 excess = $280k. Total paid-in capital = $300k. Cash up $300k and equity up $300k. Retained earnings untouched — this is investor money not earned profit.
Balance Sheet,Balance Sheet Equation,Company issues 20000 shares at $15 each with $1 par value. What is the equity impact?,Common Stock up $20k par plus APIC up $280k — total equity up $300k,true,Common Stock = 20000 x $1 par = $20k. APIC = 20000 x $14 excess = $280k. Total paid-in capital = $300k. Cash up $300k and equity up $300k. Retained earnings untouched — this is investor money not earned profit.
Balance Sheet,Balance Sheet Equation,Company issues 20000 shares at $15 each with $1 par value. What is the equity impact?,Retained Earnings up $300k,false,Common Stock = 20000 x $1 par = $20k. APIC = 20000 x $14 excess = $280k. Total paid-in capital = $300k. Cash up $300k and equity up $300k. Retained earnings untouched — this is investor money not earned profit.
Balance Sheet,Balance Sheet Equation,Company issues 20000 shares at $15 each with $1 par value. What is the equity impact?,Liabilities up $300k,false,Common Stock = 20000 x $1 par = $20k. APIC = 20000 x $14 excess = $280k. Total paid-in capital = $300k. Cash up $300k and equity up $300k. Retained earnings untouched — this is investor money not earned profit.
Balance Sheet,Balance Sheet Equation,Company pays $20000 cash dividends. What happens?,Assets down $20k and Liabilities up $20k,false,Dividends reduce both cash (asset) and Retained Earnings (equity) by the same amount. Dividends are NOT an expense — they do not appear on the Income Statement.
Balance Sheet,Balance Sheet Equation,Company pays $20000 cash dividends. What happens?,Assets down $20k and Retained Earnings down $20k,true,Dividends reduce both cash (asset) and Retained Earnings (equity) by the same amount. Dividends are NOT an expense — they do not appear on the Income Statement.
Balance Sheet,Balance Sheet Equation,Company pays $20000 cash dividends. What happens?,No effect — dividends only on Income Statement,false,Dividends reduce both cash (asset) and Retained Earnings (equity) by the same amount. Dividends are NOT an expense — they do not appear on the Income Statement.
Balance Sheet,Balance Sheet Equation,Company pays $20000 cash dividends. What happens?,Paid-in Capital down $20k and Assets down $20k,false,Dividends reduce both cash (asset) and Retained Earnings (equity) by the same amount. Dividends are NOT an expense — they do not appear on the Income Statement.
Balance Sheet,Balance Sheet Equation,Company spends $50000 to repurchase its own shares. What happens?,Assets down $50k and Liabilities up $50k,false,Buybacks reduce cash (asset) and increase Treasury Stock which is negative equity so equity shrinks. Both sides shrink by $50k — balanced. Treasury shares have no voting rights and receive no dividends.
Balance Sheet,Balance Sheet Equation,Company spends $50000 to repurchase its own shares. What happens?,No effect — company still owns the shares,false,Buybacks reduce cash (asset) and increase Treasury Stock which is negative equity so equity shrinks. Both sides shrink by $50k — balanced. Treasury shares have no voting rights and receive no dividends.
Balance Sheet,Balance Sheet Equation,Company spends $50000 to repurchase its own shares. What happens?,Assets down $50k and Treasury Stock up $50k negative equity — equity shrinks,true,Buybacks reduce cash (asset) and increase Treasury Stock which is negative equity so equity shrinks. Both sides shrink by $50k — balanced. Treasury shares have no voting rights and receive no dividends.
Balance Sheet,Balance Sheet Equation,Company spends $50000 to repurchase its own shares. What happens?,Retained Earnings up $50k and Assets down $50k,false,Buybacks reduce cash (asset) and increase Treasury Stock which is negative equity so equity shrinks. Both sides shrink by $50k — balanced. Treasury shares have no voting rights and receive no dividends.
Balance Sheet,Balance Sheet Equation,Company repays $40000 of loan principal with cash. What happens?,Assets down $40k and Equity down $40k,false,Principal repayment: Cash down $40k and Bank Loan liability down $40k. Both sides shrink equally — balanced. Interest payments are different — interest is an expense that reduces Retained Earnings.
Balance Sheet,Balance Sheet Equation,Company repays $40000 of loan principal with cash. What happens?,Assets down $40k and Liabilities down $40k,true,Principal repayment: Cash down $40k and Bank Loan liability down $40k. Both sides shrink equally — balanced. Interest payments are different — interest is an expense that reduces Retained Earnings.
Balance Sheet,Balance Sheet Equation,Company repays $40000 of loan principal with cash. What happens?,Liabilities down $40k and Equity up $40k,false,Principal repayment: Cash down $40k and Bank Loan liability down $40k. Both sides shrink equally — balanced. Interest payments are different — interest is an expense that reduces Retained Earnings.
Balance Sheet,Balance Sheet Equation,Company repays $40000 of loan principal with cash. What happens?,No effect — only on Cash Flow Statement,false,Principal repayment: Cash down $40k and Bank Loan liability down $40k. Both sides shrink equally — balanced. Interest payments are different — interest is an expense that reduces Retained Earnings.
Balance Sheet,Retained Earnings,Beginning RE $200000. Net income $60000. Dividends $15000. What is ending Retained Earnings?,$260000,false,Ending RE = Beginning RE + Net Income minus Dividends = $200000 + $60000 minus $15000 = $245000. This is the direct link between the Income Statement and Balance Sheet.
Balance Sheet,Retained Earnings,Beginning RE $200000. Net income $60000. Dividends $15000. What is ending Retained Earnings?,$245000,true,Ending RE = Beginning RE + Net Income minus Dividends = $200000 + $60000 minus $15000 = $245000. This is the direct link between the Income Statement and Balance Sheet.
Balance Sheet,Retained Earnings,Beginning RE $200000. Net income $60000. Dividends $15000. What is ending Retained Earnings?,$185000,false,Ending RE = Beginning RE + Net Income minus Dividends = $200000 + $60000 minus $15000 = $245000. This is the direct link between the Income Statement and Balance Sheet.
Balance Sheet,Retained Earnings,Beginning RE $200000. Net income $60000. Dividends $15000. What is ending Retained Earnings?,$275000,false,Ending RE = Beginning RE + Net Income minus Dividends = $200000 + $60000 minus $15000 = $245000. This is the direct link between the Income Statement and Balance Sheet.
Balance Sheet,Stockholders Equity,Assets $900000 Liabilities $400000 Paid-in Capital $300000 Treasury Stock negative $50000. What is Retained Earnings?,$300000,false,Equity = Assets minus Liabilities = $500k. Then $500k = $300k Paid-in minus $50k Treasury + RE. So RE = $500k minus $250k = $250000.
Balance Sheet,Stockholders Equity,Assets $900000 Liabilities $400000 Paid-in Capital $300000 Treasury Stock negative $50000. What is Retained Earnings?,$250000,true,Equity = Assets minus Liabilities = $500k. Then $500k = $300k Paid-in minus $50k Treasury + RE. So RE = $500k minus $250k = $250000.
Balance Sheet,Stockholders Equity,Assets $900000 Liabilities $400000 Paid-in Capital $300000 Treasury Stock negative $50000. What is Retained Earnings?,$150000,false,Equity = Assets minus Liabilities = $500k. Then $500k = $300k Paid-in minus $50k Treasury + RE. So RE = $500k minus $250k = $250000.
Balance Sheet,Stockholders Equity,Assets $900000 Liabilities $400000 Paid-in Capital $300000 Treasury Stock negative $50000. What is Retained Earnings?,$500000,false,Equity = Assets minus Liabilities = $500k. Then $500k = $300k Paid-in minus $50k Treasury + RE. So RE = $500k minus $250k = $250000.
Balance Sheet,Stockholders Equity,Company has $5M in assets and generated $3M in revenue this year. What can you conclude?,Equity must be $2M,false,Assets and revenue measure completely different things — assets are what you own at a point in time and revenue is what you earned over a period. There is no required numerical relationship between them.
Balance Sheet,Stockholders Equity,Company has $5M in assets and generated $3M in revenue this year. What can you conclude?,Nothing — assets and revenue have no required relationship,true,Assets and revenue measure completely different things — assets are what you own at a point in time and revenue is what you earned over a period. There is no required numerical relationship between them.
Balance Sheet,Stockholders Equity,Company has $5M in assets and generated $3M in revenue this year. What can you conclude?,Liabilities must exceed $3M,false,Assets and revenue measure completely different things — assets are what you own at a point in time and revenue is what you earned over a period. There is no required numerical relationship between them.
Balance Sheet,Stockholders Equity,Company has $5M in assets and generated $3M in revenue this year. What can you conclude?,Net income must be less than $3M,false,Assets and revenue measure completely different things — assets are what you own at a point in time and revenue is what you earned over a period. There is no required numerical relationship between them.
Accounting Cycle,Accounting Cycle,What is the correct order of the accounting cycle?,Record then Analyze then Summarize then Report,false,Four steps: Analyze transactions then Record journal entry then Summarize in T-accounts then Report financial statements. Every transaction flows through all four steps.
Accounting Cycle,Accounting Cycle,What is the correct order of the accounting cycle?,Analyze then Record then Summarize then Report,true,Four steps: Analyze transactions then Record journal entry then Summarize in T-accounts then Report financial statements. Every transaction flows through all four steps.
Accounting Cycle,Accounting Cycle,What is the correct order of the accounting cycle?,Summarize then Analyze then Record then Report,false,Four steps: Analyze transactions then Record journal entry then Summarize in T-accounts then Report financial statements. Every transaction flows through all four steps.
Accounting Cycle,Accounting Cycle,What is the correct order of the accounting cycle?,Report then Record then Analyze then Summarize,false,Four steps: Analyze transactions then Record journal entry then Summarize in T-accounts then Report financial statements. Every transaction flows through all four steps.
Accounting Cycle,Accounting Cycle,What is a journal entry?,A summary of all accounts at year end,false,A journal entry is the raw recording of a transaction — it captures which accounts are affected and by how much using debits and credits. Every transaction starts here before being summarized into T-accounts and then financial statements.
Accounting Cycle,Accounting Cycle,What is a journal entry?,The recording of a transaction using debits and credits,true,A journal entry is the raw recording of a transaction — it captures which accounts are affected and by how much using debits and credits. Every transaction starts here before being summarized into T-accounts and then financial statements.
Accounting Cycle,Accounting Cycle,What is a journal entry?,A list of all assets on the Balance Sheet,false,A journal entry is the raw recording of a transaction — it captures which accounts are affected and by how much using debits and credits. Every transaction starts here before being summarized into T-accounts and then financial statements.
Accounting Cycle,Accounting Cycle,What is a journal entry?,The final financial statement,false,A journal entry is the raw recording of a transaction — it captures which accounts are affected and by how much using debits and credits. Every transaction starts here before being summarized into T-accounts and then financial statements.
Accounting Cycle,Accounting Cycle,What is a T-account used for?,Calculating taxes,false,A T-account is a running record for one account such as Cash or A/R. Every journal entry that touches that account is recorded there. The balance = all debits minus all credits or vice versa depending on account type.
Accounting Cycle,Accounting Cycle,What is a T-account used for?,Accumulating the effect of all journal entries on a single account,true,A T-account is a running record for one account such as Cash or A/R. Every journal entry that touches that account is recorded there. The balance = all debits minus all credits or vice versa depending on account type.
Accounting Cycle,Accounting Cycle,What is a T-account used for?,Preparing the Cash Flow Statement,false,A T-account is a running record for one account such as Cash or A/R. Every journal entry that touches that account is recorded there. The balance = all debits minus all credits or vice versa depending on account type.
Accounting Cycle,Accounting Cycle,What is a T-account used for?,Recording only cash transactions,false,A T-account is a running record for one account such as Cash or A/R. Every journal entry that touches that account is recorded there. The balance = all debits minus all credits or vice versa depending on account type.
Debits & Credits,Debits & Credits,Under the AED rule which accounts increase with a DEBIT?,Liabilities and Revenue,false,AED: Assets and Expenses increase with Debits. Liabilities Equity and Revenue increase with Credits. Debit does not mean bad — it just means left side of the ledger.
Debits & Credits,Debits & Credits,Under the AED rule which accounts increase with a DEBIT?,Assets and Expenses,true,AED: Assets and Expenses increase with Debits. Liabilities Equity and Revenue increase with Credits. Debit does not mean bad — it just means left side of the ledger.
